reading,time
9.64,20:37:35
9.71,20:37:35
9.71,20:37:36
9.71,20:37:37
9.71,20:37:37
9.71,20:37:38
9.71,20:37:38
9.69,20:37:39
9.44,20:37:40
9.27,20:37:40
9.22,20:37:41
9.22,20:37:41
9.23,20:37:42
9.25,20:37:43
9.27,20:37:43
9.28,20:37:44
9.28,20:37:45
9.28,20:37:45
9.27,20:37:46
9.25,20:37:46
9.22,20:37:47
9.19,20:37:48
9.16,20:37:48
9.12,20:37:49
9.09,20:37:49
9.05,20:37:50
9.0,20:37:51
8.96,20:37:51
8.92,20:37:52
8.88,20:37:52
8.83,20:37:53
8.79,20:37:54
8.76,20:37:54
8.72,20:37:55
8.69,20:37:55
8.66,20:37:56
8.63,20:37:57
8.61,20:37:57
8.58,20:37:58
8.56,20:37:58
8.54,20:37:59
8.52,20:38:00
8.5,20:38:00
8.48,20:38:01
8.47,20:38:01
8.46,20:38:02
8.45,20:38:03
8.45,20:38:03
8.44,20:38:04
8.43,20:38:04
8.43,20:38:05
8.43,20:38:06
8.43,20:38:06
8.43,20:38:07
8.42,20:38:08
8.42,20:38:08
8.42,20:38:09
8.42,20:38:09
8.41,20:38:10
8.41,20:38:11
8.41,20:38:11
8.41,20:38:12
8.42,20:38:12
8.42,20:38:13
8.42,20:38:14
8.42,20:38:14
8.43,20:38:15
8.43,20:38:15
8.43,20:38:16
8.43,20:38:17
8.43,20:38:17
8.43,20:38:18
8.43,20:38:18
8.43,20:38:19
8.43,20:38:20
8.43,20:38:20
8.42,20:38:21
8.42,20:38:21
8.42,20:38:22
8.41,20:38:23
8.4,20:38:23
8.39,20:38:24
8.39,20:38:24
8.38,20:38:25
8.37,20:38:26
8.32,20:38:26
8.26,20:38:27
8.16,20:38:27
8.06,20:38:28
8.03,20:38:29
8.04,20:38:29
8.11,20:38:30
8.2,20:38:30
8.31,20:38:31
8.41,20:38:32
8.48,20:38:32
8.49,20:38:33
8.55,20:38:34
8.62,20:38:34
8.7,20:38:35
8.77,20:38:35
8.8,20:38:36
8.78,20:38:37
9.73,20:38:37
11.63,20:38:38
13.31,20:38:38
14.25,20:38:39
14.65,20:38:40
14.69,20:38:40
14.51,20:38:41
14.23,20:38:41
13.94,20:38:42
13.67,20:38:43
13.41,20:38:43
13.22,20:38:44
13.04,20:38:44
12.87,20:38:45
12.71,20:38:46
12.56,20:38:46
