reading,time
5.55,11:03:20
5.53,11:03:20
5.51,11:03:21
5.49,11:03:22
5.47,11:03:22
5.46,11:03:23
5.44,11:03:24
5.42,11:03:24
5.4,11:03:25
5.41,11:03:26
5.42,11:03:27
5.46,11:03:27
5.53,11:03:28
5.66,11:03:29
5.81,11:03:29
5.98,11:03:30
6.15,11:03:31
6.31,11:03:32
6.46,11:03:32
6.59,11:03:33
6.72,11:03:34
6.82,11:03:34
6.92,11:03:35
7.01,11:03:36
7.09,11:03:36
7.15,11:03:37
7.21,11:03:38
7.26,11:03:39
7.31,11:03:39
7.36,11:03:40
7.39,11:03:41
7.42,11:03:41
7.44,11:03:42
7.47,11:03:43
7.49,11:03:44
7.51,11:03:44
7.52,11:03:45
7.54,11:03:46
7.54,11:03:46
7.55,11:03:47
7.56,11:03:48
7.57,11:03:48
7.58,11:03:49
7.58,11:03:50
7.59,11:03:51
7.59,11:03:51
7.59,11:03:52
7.59,11:03:53
7.59,11:03:53
7.59,11:03:54
7.58,11:03:55
7.58,11:03:56
7.58,11:03:56
7.59,11:03:57
7.59,11:03:58
7.59,11:03:58
7.59,11:03:59
7.6,11:04:00
7.61,11:04:00
7.6,11:04:01
7.61,11:04:02
7.61,11:04:03
7.61,11:04:03
7.61,11:04:04
7.62,11:04:05
7.62,11:04:05
7.62,11:04:06
7.62,11:04:07
7.62,11:04:08
7.62,11:04:08
7.63,11:04:09
7.63,11:04:10
7.62,11:04:10
7.62,11:04:11
7.62,11:04:12
7.62,11:04:12
7.62,11:04:13
7.61,11:04:14
7.61,11:04:15
7.6,11:04:15
7.6,11:04:16
7.59,11:04:17
7.59,11:04:17
7.59,11:04:18
7.59,11:04:19
7.59,11:04:19
7.59,11:04:20
7.58,11:04:21
7.58,11:04:22
7.58,11:04:22
7.59,11:04:23
7.59,11:04:24
7.59,11:04:24
7.59,11:04:25
7.59,11:04:26
7.59,11:04:27
7.59,11:04:27
7.58,11:04:28
7.58,11:04:29
7.59,11:04:29
7.59,11:04:30
7.59,11:04:31
7.59,11:04:31
7.59,11:04:32
7.59,11:04:33
7.6,11:04:34
7.6,11:04:34
7.6,11:04:35
7.6,11:04:36
7.59,11:04:36
7.59,11:04:37
7.59,11:04:38
7.59,11:04:39
7.58,11:04:39
7.58,11:04:40
7.58,11:04:41
7.58,11:04:41
7.58,11:04:42
7.58,11:04:43
7.57,11:04:43
7.57,11:04:44
7.57,11:04:45
7.57,11:04:46
7.57,11:04:46
7.57,11:04:47
7.57,11:04:48
7.57,11:04:48
7.57,11:04:49
7.58,11:04:50
7.58,11:04:51
7.58,11:04:51
7.58,11:04:52
7.57,11:04:53
7.57,11:04:53
7.57,11:04:54
7.57,11:04:55
7.56,11:04:55
7.56,11:04:56
7.56,11:04:57
7.56,11:04:58
7.55,11:04:58
7.54,11:04:59
7.54,11:05:00
7.54,11:05:00
7.54,11:05:01
7.55,11:05:02
7.56,11:05:03
7.55,11:05:03
7.55,11:05:04
7.55,11:05:05
7.55,11:05:05
7.55,11:05:06
7.54,11:05:07
7.54,11:05:07
7.54,11:05:08
7.54,11:05:09
7.53,11:05:10
7.54,11:05:10
7.53,11:05:11
7.54,11:05:12
7.53,11:05:12
7.53,11:05:13
7.53,11:05:14
7.53,11:05:14
7.52,11:05:15
7.52,11:05:16
7.52,11:05:17
7.52,11:05:17
7.51,11:05:18
7.52,11:05:19
7.52,11:05:19
7.52,11:05:20
7.52,11:05:21
7.51,11:05:22
7.51,11:05:22
7.5,11:05:23
7.5,11:05:24
7.51,11:05:24
7.51,11:05:25
7.51,11:05:26
7.51,11:05:26
7.5,11:05:27
7.5,11:05:28
7.5,11:05:29
7.5,11:05:29
7.5,11:05:30
7.5,11:05:31
7.5,11:05:31
7.5,11:05:32
7.5,11:05:33
7.5,11:05:34
7.5,11:05:34
7.5,11:05:35
7.5,11:05:36
7.5,11:05:36
7.5,11:05:37
7.49,11:05:38
7.49,11:05:38
7.49,11:05:39
7.49,11:05:40
7.49,11:05:41
7.49,11:05:41
7.48,11:05:42
7.48,11:05:43
7.48,11:05:43
7.47,11:05:44
7.47,11:05:45
7.46,11:05:46
7.46,11:05:46
7.45,11:05:47
7.46,11:05:48
7.46,11:05:48
7.46,11:05:49
7.47,11:05:50
7.47,11:05:50
7.47,11:05:51
7.48,11:05:52
7.48,11:05:53
7.47,11:05:53
7.47,11:05:54
7.47,11:05:55
7.47,11:05:55
7.47,11:05:56
7.48,11:05:57
7.48,11:05:58
7.49,11:05:58
7.48,11:05:59
7.49,11:06:00
7.49,11:06:00
7.49,11:06:01
7.49,11:06:02
7.49,11:06:02
7.49,11:06:03
7.49,11:06:04
7.49,11:06:05
7.49,11:06:05
7.49,11:06:06
7.49,11:06:07
7.48,11:06:07
7.48,11:06:08
7.47,11:06:09
7.47,11:06:09
7.47,11:06:10
7.47,11:06:11
7.47,11:06:12
7.47,11:06:12
7.46,11:06:13
7.46,11:06:14
7.46,11:06:14
7.46,11:06:15
7.46,11:06:16
7.46,11:06:17
7.46,11:06:17
7.46,11:06:18
7.45,11:06:19
7.45,11:06:19
7.45,11:06:20
7.45,11:06:21
7.46,11:06:21
7.46,11:06:22
7.46,11:06:23
7.45,11:06:24
7.45,11:06:24
7.44,11:06:25
7.44,11:06:26
7.43,11:06:26
7.42,11:06:27
7.42,11:06:28
7.4,11:06:29
7.4,11:06:29
7.4,11:06:30
7.4,11:06:31
7.4,11:06:31
7.4,11:06:32
7.41,11:06:33
7.41,11:06:33
7.41,11:06:34
7.41,11:06:35
7.41,11:06:36
7.4,11:06:36
7.4,11:06:37
7.4,11:06:38
7.4,11:06:38
7.4,11:06:39
7.4,11:06:40
7.41,11:06:41
7.4,11:06:41
7.41,11:06:42
7.41,11:06:43
7.41,11:06:43
7.41,11:06:44
7.41,11:06:45
7.42,11:06:45
7.41,11:06:46
7.41,11:06:47
7.41,11:06:48
7.4,11:06:48
7.4,11:06:49
7.4,11:06:50
7.41,11:06:50
7.41,11:06:51
7.41,11:06:52
7.41,11:06:53
7.41,11:06:53
7.41,11:06:54
7.41,11:06:55
7.41,11:06:55
7.41,11:06:56
7.41,11:06:57
7.41,11:06:57
7.42,11:06:58
7.41,11:06:59
7.41,11:07:00
7.41,11:07:00
7.41,11:07:01
7.41,11:07:02
7.4,11:07:02
7.4,11:07:03
7.41,11:07:04
7.4,11:07:04
7.4,11:07:05
7.4,11:07:06
7.39,11:07:07
7.39,11:07:07
7.39,11:07:08
7.39,11:07:09
7.39,11:07:09
7.39,11:07:10
7.4,11:07:11
7.4,11:07:12
7.41,11:07:12
7.41,11:07:13
7.41,11:07:14
7.41,11:07:14
7.41,11:07:15
7.4,11:07:16
7.4,11:07:16
7.4,11:07:17
7.4,11:07:18
7.39,11:07:19
7.39,11:07:19
7.38,11:07:20
7.38,11:07:21
7.38,11:07:21
7.38,11:07:22
7.39,11:07:23
7.39,11:07:24
7.39,11:07:24
7.39,11:07:25
7.4,11:07:26
7.4,11:07:26
7.39,11:07:27
7.4,11:07:28
7.4,11:07:28
7.4,11:07:29
7.39,11:07:30
7.4,11:07:31
7.39,11:07:31
7.39,11:07:32
7.39,11:07:33
7.39,11:07:33
7.4,11:07:34
7.39,11:07:35
7.39,11:07:36
7.39,11:07:36
7.38,11:07:37
7.38,11:07:38
7.38,11:07:38
7.38,11:07:39
7.39,11:07:40
7.39,11:07:40
7.39,11:07:41
7.39,11:07:42
7.38,11:07:43
7.38,11:07:43
7.38,11:07:44
7.37,11:07:45
7.37,11:07:45
7.36,11:07:46
7.36,11:07:47
7.36,11:07:48
7.37,11:07:48
7.37,11:07:49
7.38,11:07:50
7.38,11:07:50
7.39,11:07:51
7.39,11:07:52
7.39,11:07:52
7.39,11:07:53
7.39,11:07:54
7.39,11:07:55
7.4,11:07:55
7.4,11:07:56
7.41,11:07:57
7.4,11:07:57
7.41,11:07:58
7.4,11:07:59
7.41,11:07:59
7.41,11:08:00
7.41,11:08:01
7.41,11:08:02
7.41,11:08:02
7.4,11:08:03
7.4,11:08:04
7.4,11:08:04
7.39,11:08:05
7.39,11:08:06
7.4,11:08:07
7.4,11:08:07
7.4,11:08:08
7.4,11:08:09
7.4,11:08:09
7.4,11:08:10
7.4,11:08:11
7.4,11:08:11
7.4,11:08:12
7.4,11:08:13
7.4,11:08:14
7.4,11:08:14
7.39,11:08:15
7.39,11:08:16
7.39,11:08:16
7.38,11:08:17
7.39,11:08:18
7.39,11:08:19
7.39,11:08:19
7.39,11:08:20
7.39,11:08:21
7.38,11:08:21
7.38,11:08:22
7.39,11:08:23
7.39,11:08:23
7.39,11:08:24
7.39,11:08:25
7.4,11:08:26
7.4,11:08:26
7.41,11:08:27
7.41,11:08:28
7.41,11:08:28
7.41,11:08:29
7.41,11:08:30
7.41,11:08:31
7.41,11:08:31
7.41,11:08:32
7.41,11:08:33
7.42,11:08:33
7.42,11:08:34
7.42,11:08:35
7.42,11:08:35
7.42,11:08:36
7.42,11:08:37
7.42,11:08:38
7.42,11:08:38
7.41,11:08:39
7.41,11:08:40
7.42,11:08:40
7.42,11:08:41
7.42,11:08:42
7.42,11:08:43
7.41,11:08:43
7.41,11:08:44
7.41,11:08:45
7.41,11:08:45
7.41,11:08:46
7.4,11:08:47
7.41,11:08:47
7.41,11:08:48
7.42,11:08:49
7.42,11:08:50
7.42,11:08:50
7.42,11:08:51
7.42,11:08:52
7.42,11:08:52
7.42,11:08:53
7.42,11:08:54
7.41,11:08:54
7.41,11:08:55
7.41,11:08:56
7.4,11:08:57
7.4,11:08:57
7.4,11:08:58
7.4,11:08:59
7.4,11:08:59
7.4,11:09:00
7.39,11:09:01
7.39,11:09:02
7.39,11:09:02
7.38,11:09:03
7.39,11:09:04
7.39,11:09:04
7.39,11:09:05
7.4,11:09:06
7.4,11:09:06
7.4,11:09:07
7.4,11:09:08
7.4,11:09:09
7.4,11:09:09
7.4,11:09:10
7.39,11:09:11
7.39,11:09:11
7.39,11:09:12
7.39,11:09:13
7.38,11:09:14
7.39,11:09:14
7.39,11:09:15
7.4,11:09:16
7.4,11:09:16
7.4,11:09:17
7.4,11:09:18
7.4,11:09:18
7.4,11:09:19
7.4,11:09:20
7.4,11:09:21
7.4,11:09:21
7.4,11:09:22
7.4,11:09:23
7.4,11:09:23
7.4,11:09:24
7.4,11:09:25
7.4,11:09:26
7.4,11:09:26
7.4,11:09:27
7.4,11:09:28
7.4,11:09:28
7.4,11:09:29
7.4,11:09:30
7.4,11:09:30
7.4,11:09:31
7.39,11:09:32
7.39,11:09:33
7.38,11:09:33
7.38,11:09:34
7.39,11:09:35
7.38,11:09:35
7.38,11:09:36
7.38,11:09:37
7.38,11:09:38
7.37,11:09:38
7.37,11:09:39
7.38,11:09:40
7.38,11:09:40
7.38,11:09:41
7.39,11:09:42
7.39,11:09:42
7.39,11:09:43
7.38,11:09:44
7.38,11:09:45
7.38,11:09:45
7.38,11:09:46
7.38,11:09:47
7.38,11:09:47
7.37,11:09:48
7.37,11:09:49
7.37,11:09:49
7.36,11:09:50
7.36,11:09:51
7.36,11:09:52
7.36,11:09:52
7.36,11:09:53
7.37,11:09:54
7.37,11:09:54
7.37,11:09:55
7.37,11:09:56
7.38,11:09:57
7.39,11:09:57
7.39,11:09:58
7.39,11:09:59
7.39,11:09:59
