Time,Depth,Voltage,Oxygen,Salinity,Temerature
22:26:29,1.0000,1.0000,1.0000,1.0000,1.0000
22:26:39,2.0000,2.0000,2.0000,2.0000,2.0000
22:26:49,3.0000,3.0000,3.0000,3.0000,3.0000
22:26:59,4.0000,4.0000,4.0000,4.0000,4.0000
22:27:09,5.0000,5.0000,5.0000,5.0000,5.0000
22:27:19,6.0000,6.0000,6.0000,6.0000,6.0000
22:27:29,7.0000,7.0000,7.0000,7.0000,7.0000
22:27:39,8.0000,8.0000,8.0000,8.0000,8.0000
22:27:49,9.0000,9.0000,9.0000,9.0000,9.0000
22:27:59,10.0000,10.0000,10.0000,10.0000,10.0000
22:28:09,11.0000,11.0000,11.0000,11.0000,11.0000
22:28:19,12.0000,12.0000,12.0000,12.0000,12.0000
22:28:29,13.0000,13.0000,13.0000,13.0000,13.0000
22:28:39,14.0000,14.0000,14.0000,14.0000,14.0000
22:28:49,15.0000,15.0000,15.0000,15.0000,15.0000
22:28:59,16.0000,16.0000,16.0000,16.0000,16.0000
22:29:09,17.0000,17.0000,17.0000,17.0000,17.0000
22:29:19,18.0000,18.0000,18.0000,18.0000,18.0000
22:29:29,19.0000,19.0000,19.0000,19.0000,19.0000
22:29:39,20.0000,20.0000,20.0000,20.0000,20.0000
22:29:49,21.0000,21.0000,21.0000,21.0000,21.0000
22:29:59,22.0000,22.0000,22.0000,22.0000,22.0000
22:30:09,23.0000,23.0000,23.0000,23.0000,23.0000
22:30:19,24.0000,24.0000,24.0000,24.0000,24.0000
22:30:29,25.0000,25.0000,25.0000,25.0000,25.0000
22:30:39,26.0000,26.0000,26.0000,26.0000,26.0000
22:30:49,27.0000,27.0000,27.0000,27.0000,27.0000
22:30:59,28.0000,28.0000,28.0000,28.0000,28.0000
22:31:09,29.0000,29.0000,29.0000,29.0000,29.0000
22:31:19,30.0000,30.0000,30.0000,30.0000,30.0000
22:31:29,31.0000,31.0000,31.0000,31.0000,31.0000
22:31:39,32.0000,32.0000,32.0000,32.0000,32.0000
22:31:49,33.0000,33.0000,33.0000,33.0000,33.0000
22:31:59,34.0000,34.0000,34.0000,34.0000,34.0000
22:32:09,35.0000,35.0000,35.0000,35.0000,35.0000
22:32:19,36.0000,36.0000,36.0000,36.0000,36.0000
22:32:29,37.0000,37.0000,37.0000,37.0000,37.0000
22:32:39,38.0000,38.0000,38.0000,38.0000,38.0000
22:32:49,39.0000,39.0000,39.0000,39.0000,39.0000
